RECORD_KEY,MASTER_660_ID,ORIGINE,NOVITA,COMUNE,TITOLO,TIPOLOGIA,INDIRIZZO,TARGET_RICERCA,STATO_RICERCA,LAT,LON,GEOCODE_DISPLAY,CATASTO_LOCAL_ID,CODICE_BELFIORE,FOGLIO_RAW,PARTICELLA,FONTE_CATASTO,URL_SEGNALE,PRIMA_RILEVAZIONE,ULTIMO_CONTROLLO_CATASTO
LIVE-f9239e82a199ce0a,,RADAR_LIVE,NO,Exilles,Vendita Terratetto unifamiliare in frazione Cels Rif Exilles. Buono ...,NON_CLASSIFICATO,frazione Cels Rif Exilles. Buono,NO,NON_TARGET,,,,,,,,Agenzia delle Entrate · WMS CP.CadastralParcel,https://www.immobiliare.it/annunci/131247504/,2026-09-01T18:58:42.120100+00:00,2026-09-03T19:01:31.709982+00:00
LIVE-a4f8527a5d5cee83,,RADAR_LIVE,NO,Giaveno,"Vendita Terratetto plurifamiliare Giaveno. Da ristrutturare, posto auto ...",NON_CLASSIFICATO,,NO,NON_TARGET,,,,,,,,Agenzia delle Entrate · WMS CP.CadastralParcel,https://www.immobiliare.it/annunci/129762344/,2026-09-01T18:58:42.120225+00:00,2026-09-03T19:01:31.709987+00:00
LIVE-31947ce1a88427b2,,RADAR_LIVE,NO,Giaveno,"Vendita Villa unifamiliare Giaveno. Buono stato, posto auto, con ...",NON_CLASSIFICATO,,NO,NON_TARGET,,,,,,,,Agenzia delle Entrate · WMS CP.CadastralParcel,https://www.immobiliare.it/annunci/130329472/,2026-09-01T18:58:42.120238+00:00,2026-09-03T19:01:31.709993+00:00
LIVE-cf77f99f6afde5ba,,RADAR_LIVE,NO,Giaveno,Vendita Villa bifamiliare in Borgata San Filippo 1 Giaveno. Buono stato ...,NON_CLASSIFICATO,Borgata San Filippo 1,NO,NON_TARGET,,,,,,,,Agenzia delle Entrate · WMS CP.CadastralParcel,https://www.immobiliare.it/annunci/132029894/,2026-09-01T18:58:42.120251+00:00,2026-09-03T19:01:31.709999+00:00
LIVE-099282e23acd95c8,,RADAR_LIVE,NO,Giaveno,Vendita Terratetto unifamiliare in via Pontepietra Giaveno. Ottimo ...,NON_CLASSIFICATO,via Pontepietra Giaveno. Ottimo,NO,NON_TARGET,,,,,,,,Agenzia delle Entrate · WMS CP.CadastralParcel,https://www.immobiliare.it/annunci/130872056/,2026-09-01T18:58:42.120274+00:00,2026-09-03T19:01:31.710005+00:00
LIVE-e2530949e4cb9436,,RADAR_LIVE,NO,Gravere,"Vendita Appartamento Gravere. Trilocale, Buono stato, piano terra ...",NON_CLASSIFICATO,,NO,NON_TARGET,,,,,,,,Agenzia delle Entrate · WMS CP.CadastralParcel,https://www.immobiliare.it/annunci/132057058/,2026-09-01T18:58:42.120322+00:00,2026-09-03T19:01:31.710010+00:00
LIVE-b591d6b737c3b996,,RADAR_LIVE,NO,Grugliasco,Vendita Appartamento Grugliasco. Trilocale in via Enrico Toti 10 ...,NON_CLASSIFICATO,via Enrico Toti 10,NO,NON_TARGET,,,,,,,,Agenzia delle Entrate · WMS CP.CadastralParcel,https://www.immobiliare.it/annunci/128623470/,2026-09-01T18:58:42.120365+00:00,2026-09-03T19:01:31.710015+00:00
LIVE-2f061ddea9d6d892,,RADAR_LIVE,NO,Grugliasco,Vendita Appartamento Grugliasco. Quadrilocale in via giotto 31. Buono ...,NON_CLASSIFICATO,via giotto 31,NO,NON_TARGET,,,,,,,,Agenzia delle Entrate · WMS CP.CadastralParcel,https://www.immobiliare.it/annunci/132044336/,2026-09-01T18:58:42.120396+00:00,2026-09-03T19:01:31.710019+00:00
LIVE-0d4c4222684d9ef9,,RADAR_LIVE,NO,Meana di Susa,Vendita Villa unifamiliare in via Mattie 16 Meana di Susa. Buono stato ...,NON_CLASSIFICATO,via Mattie 16,NO,NON_TARGET,,,,,,,,Agenzia delle Entrate · WMS CP.CadastralParcel,https://www.immobiliare.it/annunci/129789220/,2026-09-01T18:58:42.120500+00:00,2026-09-03T19:01:31.710025+00:00
LIVE-7edb1c5b01306388,,RADAR_LIVE,NO,Moncenisio,"Trilocale in vendita in Via Moncenisio, 75 - idealista",NON_CLASSIFICATO,"Via Moncenisio, 75",NO,NON_TARGET,,,,,,,,Agenzia delle Entrate · WMS CP.CadastralParcel,https://www.idealista.it/immobile/36664850/,2026-09-01T18:58:42.120556+00:00,2026-09-03T19:01:31.710030+00:00
